EXPERIMENT - 3
================================================================
Full 100% Dataset_B has been trained.
-------------------------------------------------

(iot_env) coe_iot_ai@tokumei:~/Desktop/Amit/medHisPath$ python3.10 train_image_for_features_4.py 
Using cuda:0 device.
Number of training samples: 237
Total classes: 5
Total localizations: 6
Total sizes: 20
Total genders: 2
Total age groups: 3
Using 8 dataloader workers every process
train epoch[1/100] loss:7.504: 100%|███████████████████████████████████████████████████████████| 4/4 [00:05<00:00,  1.36s/it]
[epoch 1] train_loss: 7.742  train_accuracy: 0.354
train epoch[2/100] loss:7.148: 100%|███████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.07s/it]
[epoch 2] train_loss: 7.254  train_accuracy: 0.422
train epoch[3/100] loss:7.078: 100%|███████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.07s/it]
[epoch 3] train_loss: 7.042  train_accuracy: 0.447
train epoch[4/100] loss:6.931: 100%|███████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.08s/it]
[epoch 4] train_loss: 6.900  train_accuracy: 0.460
train epoch[5/100] loss:6.846: 100%|███████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.07s/it]
[epoch 5] train_loss: 6.741  train_accuracy: 0.494
train epoch[6/100] loss:6.839: 100%|███████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.07s/it]
[epoch 6] train_loss: 6.578  train_accuracy: 0.502
train epoch[7/100] loss:6.763: 100%|███████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.07s/it]
[epoch 7] train_loss: 6.568  train_accuracy: 0.502
train epoch[8/100] loss:6.365: 100%|███████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.07s/it]
[epoch 8] train_loss: 6.420  train_accuracy: 0.502
train epoch[9/100] loss:6.570: 100%|███████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.08s/it]
[epoch 9] train_loss: 6.287  train_accuracy: 0.515
train epoch[10/100] loss:5.962: 100%|███████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.07s/it]
[epoch 10] train_loss: 6.078  train_accuracy: 0.574
train epoch[11/100] loss:5.707: 100%|███████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.07s/it]
[epoch 11] train_loss: 6.032  train_accuracy: 0.549
train epoch[12/100] loss:6.151: 100%|███████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.07s/it]
[epoch 12] train_loss: 5.965  train_accuracy: 0.578
train epoch[13/100] loss:5.892: 100%|███████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.07s/it]
[epoch 13] train_loss: 5.745  train_accuracy: 0.624
train epoch[14/100] loss:5.592: 100%|███████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.07s/it]
[epoch 14] train_loss: 5.757  train_accuracy: 0.595
train epoch[15/100] loss:6.198: 100%|███████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.07s/it]
[epoch 15] train_loss: 5.725  train_accuracy: 0.586
train epoch[16/100] loss:5.586: 100%|███████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:04<00:00,  1.07s/it]
